System,Ligand,SMILES,Mapped SMILES,Value (kcal / mol),Uncertainty (kcal / mol),Reference Value (kcal / mol),Reference Uncertainty (kcal / mol),Force Field,FF,"1,2 Aminoalcohol","1,2 Diol",Alcohol,Alkyl Chloride,Alkyl Fluoride,Alkylarylether,Alkyne,Amine,Anion,Aromatic,Aryl Bromide,Aryl Chloride,Aryl Fluoride,Aryl Iodide,Carbamic Acid Derivative,Carbamic Acid Ester,Carboxylic Acid Amide,Carboxylic Acid Derivative,Carboxylic Acid Primary Amide,Carboxylic Acid Salt,Carboxylic Acid Secondary Amide,Carboxylic Acid Tertiary Amide,Cation,Dialkylether,Diarylether,Ether,Guanidine,Halogen Derivative,Heterocycle,Hydroxy,Lactam,Nitrile,Nitro Compound,Oxohetarene,Phenol,Primary Alcohol,Primary Aliphatic Amine,Primary Amine,Primary Aromatic Amine,Secondary Alcohol,Secondary Amine,Secondary Aromatic Amine,Secondary Mixed Amine,Sulfonamide,Sulfone,Sulfonic Acid Derivative,Sulfoxide,Tertiary Alcohol,Thioether,Urea,b1,b2,b3,b4,b5,b6,b7,b8,b9,b10,b11,b12,b13,b14,b16,b17,b18,b19,b20,b21,b22,b24,b25,b27,b28,b35,b38,b42,b51,b52,b56,b57,b59,b68,b69,b70,b71,b72,b74,b84,b85,b87,b88,a1,a2,a4,a5,a6,a7,a8,a9,a10,a11,a13,a14,a15,a16,a18,a19,a20,a21,a22,a25,a26,a28,a31,a32,a33,a37,a38,a41,a41a,a3,t1,t2,t3,t4,t5,t9,t13,t14,t15,t16,t17,t17a,t18,t18a,t19,t19a,t20,t21,t22,t23,t25,t27,t42,t43,t43a,t44,t45,t47,t48,t48a,t50,t51,t56,t57,t58a,t64,t66,t67,t69,t72a,t73,t74,t75,t76,t77,t78,t79,t80,t82,t83,t83a,t84,t85,t86,t87,t93,t94,t95,t96,t97,t105,t106,t107,t110,t111,t115,t116,t117a,t118,t118a,t119,t120,t121,t121a,t122,t122a,t138,t140,t145b,t146b,t147b,t148b,t149b,t150,t152,t165,t166,i1,i2,i3,i4,i6,i7,n2,n3,n6,n7,n8,n9,n11,n12,n14,n15,n16,n17,n18,n19,n20,n21,n23,n24,n25,n26
bace,CAT-13n,CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(c2ncccn2)[NH+]=C1N,[H:34][c:9]1[c:10]([c:11]([c:19]([c:7]([c:8]1[H:33])[C@@:6]2([C:26](=[O:27])[N:2]([C:3](=[N+:5]2[H:32])[N:4]([H:31])[H:44])[C:1]([H:28])([H:29])[H:30])[c:20]3[n:21][c:22]([c:23]([c:24]([n:25]3)[H:43])[H:42])[H:41])[H:40])[c:12]4[c:13]([c:14]([c:15]([c:16]([c:18]4[H:39])[Cl:17])[H:38])[H:37])[H:36])[H:35],1.1921767483447612,0.2675539106155932,-8.543000221252441,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-4p,CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cncc(Cl)c3)c2)[NH+]=C1N,[H:35][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:36])[H:37])[C@:6]2([C:26](=[O:27])[N:2]([C:3](=[N+:5]2[H:32])[N:4]([H:31])[H:45])[C:1]([H:28])([H:29])[H:30])[c:13]3[c:14]([c:15]([c:16]([c:17]([c:25]3[H:44])[c:18]4[c:24]([c:22]([c:21]([n:20][c:19]4[H:41])[H:42])[Cl:23])[H:43])[H:40])[H:39])[H:38])[H:33])[H:34],-0.8678095056979331,0.2046198530992432,-10.083000183105469,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-13j,CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(c2ccccn2)[NH+]=C1N,[H:42][c:22]1[c:23]([c:24]([n:25][c:20]([c:21]1[H:41])[C@:6]2([C:26](=[O:27])[N:2]([C:3](=[N+:5]2[H:32])[N:4]([H:31])[H:45])[C:1]([H:28])([H:29])[H:30])[c:7]3[c:8]([c:9]([c:10]([c:11]([c:19]3[H:40])[c:12]4[c:13]([c:14]([c:15]([c:16]([c:18]4[H:39])[Cl:17])[H:38])[H:37])[H:36])[H:35])[H:34])[H:33])[H:44])[H:43],0.1437810078036594,0.2619913198867615,-8.732999801635742,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-13e,CN1C(=O)[C@](c2cccc(-c3cccc(Cl)c3)c2)(C2CCC2)[NH+]=C1N,[H:32][c:9]1[c:10]([c:11]([c:19]([c:7]([c:8]1[H:31])[C@@:6]2([C:24](=[O:25])[N:2]([C:3](=[N+:5]2[H:30])[N:4]([H:29])[H:46])[C:1]([H:26])([H:27])[H:28])[C:20]3([C:21]([C:22]([C:23]3([H:44])[H:45])([H:42])[H:43])([H:40])[H:41])[H:39])[H:38])[c:12]4[c:13]([c:14]([c:15]([c:16]([c:18]4[H:37])[Cl:17])[H:36])[H:35])[H:34])[H:33],-0.6227488362268981,0.4998928042251748,-9.963000297546388,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,True,True,True,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,True,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-13a,CN1C(=O)[C@@](C)(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C1N,[H:32][c:10]1[c:11]([c:12]([c:20]([c:8]([c:9]1[H:31])[C@@:6]2([C:21](=[O:22])[N:2]([C:3](=[N+:5]2[H:27])[N:4]([H:26])[H:39])[C:1]([H:23])([H:24])[H:25])[C:7]([H:28])([H:29])[H:30])[H:38])[c:13]3[c:14]([c:15]([c:16]([c:17]([c:19]3[H:37])[Cl:18])[H:36])[H:35])[H:34])[H:33],1.659155283092705,0.1898311916201545,-8.843000411987305,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-13b,CC[C@]1(c2cccc(-c3cccc(Cl)c3)c2)[NH+]=C(N)N(C)C1=O,[H:30][c:6]1[c:7]([c:8]([c:16]([c:4]([c:5]1[H:29])[C@@:3]2([C:22](=[O:23])[N:20]([C:18](=[N+:17]2[H:37])[N:19]([H:38])[H:42])[C:21]([H:39])([H:40])[H:41])[C:2]([H:27])([H:28])[C:1]([H:24])([H:25])[H:26])[H:36])[c:9]3[c:10]([c:11]([c:12]([c:13]([c:15]3[H:35])[Cl:14])[H:34])[H:33])[H:32])[H:31],3.404889492566068,0.3500448585016226,-9.123000144958496,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,True,False,False
bace,CAT-4a,CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3ccccc3)c2)[NH+]=C1N,[H:42][c:21]1[c:20]([c:19]([c:18]([c:23]([c:22]1[H:43])[H:44])[c:17]2[c:16]([c:15]([c:14]([c:13]([c:24]2[H:45])[C@@:6]3([C:25](=[O:26])[N:2]([C:3](=[N+:5]3[H:31])[N:4]([H:30])[H:46])[C:1]([H:27])([H:28])[H:29])[c:7]4[c:8]([c:9]([c:10]([c:11]([c:12]4[H:36])[H:35])[H:34])[H:33])[H:32])[H:37])[H:38])[H:39])[H:40])[H:41],0.8118141045145225,0.2556264062678529,-7.933000087738037,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,False,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False
bace,CAT-4k,CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3ccncc3)c2)[NH+]=C1N,[H:34][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:35])[H:36])[C@:6]2([C:25](=[O:26])[N:2]([C:3](=[N+:5]2[H:31])[N:4]([H:30])[H:45])[C:1]([H:27])([H:28])[H:29])[c:13]3[c:14]([c:15]([c:16]([c:17]([c:24]3[H:44])[c:18]4[c:19]([c:20]([n:21][c:22]([c:23]4[H:43])[H:42])[H:41])[H:40])[H:39])[H:38])[H:37])[H:32])[H:33],1.6839390430290342,0.2325390758662557,-7.853000164031982,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False
bace,CAT-4l,CN1C(=O)[C@@](c2ccccc2)(c2cccc(-c3cnccn3)c2)[NH+]=C1N,[H:34][c:10]1[c:9]([c:8]([c:7]([c:12]([c:11]1[H:35])[H:36])[C@:6]2([C:25](=[O:26])[N:2]([C:3](=[N+:5]2[H:31])[N:4]([H:30])[H:44])[C:1]([H:27])([H:28])[H:29])[c:13]3[c:14]([c:15]([c:16]([c:17]([c:24]3[H:43])[c:18]4[c:19]([n:20][c:21]([c:22]([n:23]4)[H:42])[H:41])[H:40])[H:39])[H:38])[H:37])[H:32])[H:33],1.5140079067771854,0.3036034425415328,-9.343000411987305,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False
bace,CAT-4m,Cc1cncc(-c2cccc([C@@]3(c4ccccc4)[NH+]=C(N)N(C)C3=O)c2)c1,[H:38][c:16]1[c:15]([c:14]([c:13]([c:18]([c:17]1[H:39])[H:40])[C@:12]2([C:24](=[O:25])[N:22]([C:20](=[N+:19]2[H:41])[N:21]([H:42])[H:48])[C:23]([H:43])([H:44])[H:45])[c:11]3[c:10]([c:9]([c:8]([c:7]([c:26]3[H:46])[c:6]4[c:27]([c:2]([c:3]([n:4][c:5]4[H:32])[H:31])[C:1]([H:28])([H:29])[H:30])[H:47])[H:33])[H:34])[H:35])[H:36])[H:37],-0.7934982049609679,0.2091646461645095,-9.152999877929688,0.0,Sage 2.2.1 + ELF10,Sage 2.2.1 + ELF10,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,True,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,True,False,True,True,True,True,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,True,True,False,False,False,False,False,False,True,True,False,True,False,False,False,False,True,True,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,True,True,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,True,True,False,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,True,True,False,True,True,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False
